,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
215,FEAM,5E Advanced Materials Inc.,103.79M,-1.52%,29599,-
216,IDR,"Idaho Strategic Resources, Inc.",99.28M,-1.53%,8483,13.31M
217,VOXR,Vox Royalty Corp.,96.12M,-1.02%,73410,12.31M
218,GLT,Glatfelter Corporation,95.71M,-3.30%,353023,1.39B
219,NB,NioCorp Developments Ltd.,92.73M,-0.73%,13321,-
220,ORGN,"Origin Materials, Inc.",89.01M,-4.44%,430355,28.81M
221,TMQ,Trilogy Metals Inc.,74.80M,-0.24%,30084,-
222,USGO,U.S. GoldMining Inc.,71.96M,0.82%,2745,-
223,ASM,Avino Silver & Gold Mines Ltd.,65.45M,1.67%,155612,46.01M
224,FURY,Fury Gold Mines Limited,64.33M,-3.94%,40404,-
225,USAS,Americas Gold and Silver Corporation,58.89M,-7.80%,617595,84.89M
226,EVA,Enviva Inc.,55.83M,-5.88%,1651297,1.13B
227,ITRG,Integra Resources Corp.,55.02M,2.75%,105219,-
228,VGZ,Vista Gold Corp.,54.85M,9.27%,196995,-
229,XPL,Solitario Zinc Corp.,46.61M,-1.50%,8507,-
230,HYMC,Hycroft Mining Holding Corporation,46.09M,3.95%,62103,11.47M
231,HGAS,Global Gas Corporation,45.20M,-2.50%,486,-
232,CGA,"China Green Agriculture, Inc.",40.63M,-4.08%,118,112.20M
233,BHIL,"Benson Hill, Inc.",39.80M,0.31%,145492,404.61M
234,HUDI,"Huadi International Group Co., Ltd.",38.50M,-1.11%,1277,84.33M
235,USAU,U.S. Gold Corp.,34.53M,6.76%,65423,-
236,ELBM,Electra Battery Materials Corporation,29.44M,6.74%,41608,-
237,UAMY,United States Antimony Corporation,29.39M,0.33%,98988,8.45M
238,GORO,Gold Resource Corporation,28.34M,8.83%,435577,108.96M
239,BYU,"BAIYU Holdings, Inc.",28.04M,1.39%,4547,120.11M
240,WWR,"Westwater Resources, Inc.",27.41M,0.60%,44174,-
241,FSI,"Flexible Solutions International, Inc.",23.75M,-,9329,41.11M
242,PZG,Paramount Gold Nevada Corp.,21.66M,1.56%,11113,-
243,GRFX,Graphex Group Limited,20.68M,-6.71%,7833,42.01M
244,HLP,Hongli Group Inc.,20.04M,-15.09%,43098,18.71M
245,LITM,Snow Lake Resources Ltd.,20.00M,-2.48%,4024,-
246,ZKIN,"ZK International Group Co., Ltd.",19.77M,3.84%,16876,109.16M
247,SEED,Origin Agritech Limited,19.20M,5.26%,16567,12.83M
248,AAU,Almaden Minerals Ltd.,18.81M,0.36%,82993,-
249,JCTCF,Jewett-Cameron Trading Company Ltd.,18.80M,1.19%,65,51.52M
250,INHD,Inno Holdings Inc.,18.68M,-0.10%,3366,657.36K
251,AUST,Austin Gold Corp.,15.40M,-,11555,-
252,GURE,"Gulf Resources, Inc.",14.40M,0.72%,2352,41.76M
253,RETO,"ReTo Eco-Solutions, Inc.",7.75M,-0.49%,7565,4.82M
254,CNEY,CN Energy Group. Inc.,6.37M,-1.54%,27781,57.90M
255,AUMN,Golden Minerals Company,5.63M,0.52%,31524,16.29M
256,SVFD,"Save Foods, Inc.",4.55M,0.66%,7034,381.68K
257,SNES,"SenesTech, Inc.",4.38M,0.13%,30471,1.19M
258,YTEN,"Yield10 Bioscience, Inc.",3.18M,-0.98%,119337,147.00K
259,ITP,"IT Tech Packaging, Inc.",2.82M,-1.54%,4702,86.96M
260,RKDA,"Arcadia Biosciences, Inc.",2.79M,1.59%,4414,5.50M
261,CRKN,Crown ElectroKinetics Corp.,2.59M,-3.21%,885168,59.00K
