,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
321,FCF,First Commonwealth Financial Corporation,1.38B,-,44251,467.47M
322,HOPE,"Hope Bancorp, Inc.",1.36B,-0.84%,40094,542.34M
323,SYBT,"Stock Yards Bancorp, Inc.",1.36B,-0.45%,7259,325.76M
324,NMFC,New Mountain Finance Corporation,1.31B,0.08%,139554,374.84M
325,BUSE,First Busey Corporation,1.31B,-0.17%,9014,439.44M
326,CASH,"Pathward Financial, Inc.",1.30B,-1.00%,15633,659.96M
327,NBHC,National Bank Holdings Corporation,1.30B,0.51%,9370,417.57M
328,STEL,"Stellar Bancorp, Inc.",1.29B,-0.04%,8279,452.38M
329,WABC,Westamerica Bancorporation,1.29B,-1.01%,8641,324.80M
330,WT,"WisdomTree, Inc.",1.28B,0.18%,159678,349.04M
331,SRCE,1st Source Corporation,1.26B,0.13%,8380,363.40M
332,LMND,"Lemonade, Inc.",1.25B,-2.11%,1027628,429.80M
333,PWP,Perella Weinberg Partners,1.24B,-1.42%,35332,648.65M
334,TRUP,"Trupanion, Inc.",1.24B,-0.83%,73310,1.11B
335,NIC,"Nicolet Bankshares, Inc.",1.23B,0.23%,4536,272.50M
336,NRDS,"NerdWallet, Inc.",1.23B,0.41%,43614,599.40M
337,STBA,"S&T Bancorp, Inc.",1.23B,-0.84%,19777,389.14M
338,ECPG,"Encore Capital Group, Inc.",1.18B,-1.36%,6089,1.22B
339,TCBK,TriCo Bancshares,1.18B,-0.79%,4423,407.96M
340,SAFT,"Safety Insurance Group, Inc.",1.17B,-0.25%,5097,930.96M
341,PFS,"Provident Financial Services, Inc.",1.15B,-0.03%,45175,451.38M
342,EIG,"Employers Holdings, Inc.",1.13B,-0.55%,10839,850.90M
343,CET,Central Securities Corp.,1.12B,-0.27%,4369,57.37M
344,VBTX,"Veritex Holdings, Inc.",1.12B,-1.07%,79349,377.75M
345,HCI,"HCI Group, Inc.",1.10B,-0.50%,76093,550.67M
346,CSWC,Capital Southwest Corporation,1.05B,0.41%,135294,168.90M
347,CIFR,Cipher Mining Inc.,1.04B,-0.28%,3238690,-
348,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.04B,-0.42%,12955,166.67M
349,PFBC,Preferred Bank,1.04B,-2.07%,7568,351.76M
350,BBDC,"Barings BDC, Inc.",1.03B,-2.27%,377805,289.20M
351,BCSF,"Bain Capital Specialty Finance, Inc.",1.02B,0.06%,61288,297.79M
352,PEBO,Peoples Bancorp Inc.,1.01B,-0.82%,9727,411.61M
353,PRAA,"PRA Group, Inc.",1.01B,-2.13%,8824,802.55M
354,AMSF,"AMERISAFE, Inc.",1.01B,-0.91%,9404,306.85M
355,SASR,"Sandy Spring Bancorp, Inc.",1.01B,-2.05%,91278,439.19M
356,SCRM,Screaming Eagle Acquisition Corp.,1.00B,0.05%,23777,-
357,GABC,"German American Bancorp, Inc.",994.64M,-0.45%,14006,248.14M
358,BHLB,"Berkshire Hills Bancorp, Inc.",981.55M,-0.29%,18396,411.83M
359,CVII,Churchill Capital Corp VII,976.99M,-,6005,-
360,RBCAA,"Republic Bancorp, Inc.",971.87M,-0.88%,353,311.88M
361,QCRH,"QCR Holdings, Inc.",967.27M,-0.56%,6627,337.15M
362,MFIC,MidCap Financial Investment Corporation,966.40M,-,82524,276.52M
